,latitude,longitude,bounding_box,class
0,25.78219989847472,73.32243100156258,"73.32239329499252,25.78223331750441,73.32246870813263,25.782166479445035",Aegle Marmelos
1,26.49909522839114,74.38427999849463,"74.38424386546373,26.49913795985545,74.38431613152552,26.49905249692683",Prosopis cineraria
2,26.49901680373101,74.38415247447062,"74.38412996354847,26.499033635809365,74.38417498539279,26.498999971652655",Vachellia nilotica
3,26.5054630374269,74.42153985167343,"74.42149457939382,26.505517027572136,74.42158512395304,26.505409047281663",prosopis juliflora
4,26.505500835605595,74.42139807102505,"74.42138137130037,26.50551656854429,74.42141477074973,26.505485102666903",prosopis juliflora
5,28.20120507573192,75.34045121509678,"75.34040865062708,28.20123790428923,75.34049377956646,28.2011722471746",Prosopis cineraria
6,26.521862029016205,74.4188094148237,"74.41878265312698,26.52188223504275,74.41883617652043,26.52184182298966",Prosopis cineraria
7,26.52174556737016,74.41875683820436,"74.41871574340104,26.521778129746167,74.41879793300767,26.521713004994137",Prosopis cineraria
8,26.99254820933988,75.74453217824734,"75.74451404636747,26.992568618491212,75.74455031012721,26.992527800188537",Dalbergia sissoo
9,26.99252852594669,75.74462652926294,"75.74460396616892,26.992545572969107,75.74464909235698,26.992511478924275",Vachellia nilotica
10,28.25114698822861,75.366010565734,"75.365969306188,28.251192233022877,75.36605182527998,28.251101743434344",Prosopis cineraria
11,25.77652820021001,73.33322704872097,"73.33318856805474,25.776561613379368,73.3332655293872,25.776494787040647",Azadirachta indica
12,26.98740408299872,75.74566257675644,"75.74563289092774,26.98743922418628,75.74569226258517,26.98736894181117",saraca asoca
13,27.34728229946513,76.6449796077251,"76.64493029186147,27.34732236910849,76.64502892358874,27.347242229821784",Azadirachta indica
14,25.7817515242507,73.34962454386744,"73.34955486312046,25.78179925800688,73.34969422461441,25.781703790494525",Pongamia pinnata
15,25.78156849697864,73.3495061755344,"73.34947321212087,25.781597463258045,73.34953913894795,25.78153953069922",Azadirachta indica
16,25.78170981151319,73.34952868020446,"73.34949317787543,25.781730849673554,73.34956418253347,25.781688773352823",Aegle Marmelos
17,26.5039786348876,74.41235886781331,"74.41233887439634,26.50399435319495,74.41237886123028,26.50396291658025",Vachellia nilotica
18,26.503997021032333,74.41243858490643,"74.41240522942728,26.504019456035458,74.41247194038559,26.50397458602921",Prosopis cineraria
19,26.50782157300241,74.42119341908801,"74.42115577961593,26.507854150230273,74.42123105856008,26.50778899577455",prosopis juliflora
